apelido,pontuacao,posicao_id,clube_id,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG,atleta_id
Ramon,-0.8,3,287,,,,,4.0,,,,,,,,,1.0,1.0,,88087
Daniel Guedes ,6.2,2,277,,,,,,,,,,,,,,1.0,1.0,1.0,88225
Ángel Romero,5.8,5,264,1.0,,,,2.0,,2.0,1.0,,,,,,6.0,1.0,,88323
Gabriel Dias,0.5,4,285,,,,,1.0,,,2.0,,,,,,,,,88368
Ayrton Lucas,4.3,2,266,,,,,1.0,,1.0,5.0,,,,,,,1.0,,88393
Rodrigo Andrade,-2.7,4,287,,1.0,,,3.0,1.0,1.0,,,,,,,4.0,,,89646
Róger Guedes,-0.3,5,282,,,,,,,,,,,,,,1.0,,,89898
Andrigo,1.6,4,292,,,,,1.0,1.0,1.0,,,,,,1.0,3.0,1.0,,89930
Bruno Pacheco,1.2,2,315,,,,,1.0,,,1.0,,,,,,1.0,1.0,,90061
Jailson,2.0,4,284,,,,,,,,1.0,,,,,,,1.0,,90290
Arthur,11.7,4,284,,,,,,,,6.0,,,,,,1.0,6.0,,90532
Pavez,1.9,4,293,,,,,,,,2.0,,,,,,2.0,1.0,,90959
Gustavo Blanco,15.4,4,282,1.0,,,,3.0,2.0,,1.0,1.0,,,,,,4.0,,91191
Zé Ivaldo,-3.6,3,293,,1.0,,,3.0,,,1.0,,,,,,2.0,,,91866
Christian Sávio,10.7,4,327,,,,,,,1.0,3.0,,,,,,2.0,6.0,,91928
Arthur,3.6,5,354,,,,,,1.0,,,,,,,,2.0,2.0,,92171
Jair Ventura,6.45,6,277,,,,,,,,,,,,,,,,,92180
Caíque,-1.0,1,287,,,,1.0,,,,,,,,2.0,,,,,92207
Odair Hellmann,7.95,6,285,,,,,,,,,,,,,,,,,92273
Mateus Vital,-0.1,4,264,,,,,,,1.0,,,,,,,3.0,,,93108
Lucas Veríssimo,8.5,3,277,,,,,,,1.0,,,,,,,1.0,2.0,1.0,93368
Evander,2.5,4,267,,1.0,,,1.0,,3.0,1.0,,,,,,3.0,2.0,,93788
Ribamar,2.9,5,293,,,,,1.0,,4.0,2.0,,,,,1.0,1.0,,,94068
Maycon,-0.3,4,264,,,,,,,,,,,,,,1.0,,,94154
Diego Pituca,0.0,4,277,,,,,,,,,,,,,,,,,94156
Guilherme,0.2,5,315,,,,,,,,1.0,,,,,,1.0,,,94207
Raphael Veiga,5.0,4,293,1.0,,,,,,,,,,,,,,,,94509
Pedro,6.0,5,266,1.0,,,,2.0,1.0,1.0,,,,,,,,,,94583
Lucas Paquetá,12.1,4,262,,,,,1.0,1.0,,5.0,,1.0,,,,2.0,1.0,,94930
Marco Antônio,1.5,4,265,,,,,,,,,,,,,,,1.0,,94975
Gregore,4.3,4,265,,,,,3.0,,1.0,1.0,,,,,,,3.0,,95464
Zé Ricardo,4.62,6,267,,,,,,,,,,,,,,,,,95780
Sander,1.9,2,292,,,,,,,,2.0,,,,,,2.0,1.0,,95843
Arthur Gomes,0.0,5,277,,,,,,,,,,,,,,,,,96966
Zé Ricardo,0.4,4,327,,,,,1.0,,,,,,,,,2.0,1.0,,97317
Jory,13.7,1,327,,,,3.0,,,,,,,,,,1.0,,1.0,97453
Frazan,-0.5,3,266,,,,,1.0,,,,,,,,,,,,97528
Ibañez,2.7,3,266,,,,,,,,,,,,,,1.0,2.0,,97803
Léo Ortiz,-1.5,3,292,,1.0,,,2.0,,,,,,,,,,1.0,,97867
Iago,8.3,2,285,,,,,1.0,,,1.0,,,,,,4.0,3.0,1.0,97868
Bruno Guimarães,5.2,4,293,,,,,1.0,,,6.0,,,,,,1.0,2.0,,98352
Pedrinho,-0.6,4,264,,,,,1.0,,,1.0,,,,,,2.0,,,98706
Vinicius Junior,6.4,5,262,1.0,,,,1.0,1.0,2.0,3.0,,,,,,8.0,,,99535
João Carlos,-0.5,5,266,,,,,1.0,,,,,,,,,,,,99583
Bremer,-0.1,3,282,,1.0,,,2.0,,,1.0,,,,,,2.0,2.0,,99817
Júnior Brumado,-0.5,5,265,,,,,3.0,,,2.0,,,,,,,,,99894
