apelido,atleta_id,clube_id,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,status_id,variacao_num,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG
Messias,113,327,1,9.6,Messias Rodrigues da Silva Júnior,9.6,3,9.37,1,7,5.37,,,,,1.0,,,,,,,,,3.0,4.0,1.0
Matheus Sales,114,327,0,0.0,Matheus de Sales Cabral,0.0,4,5.0,1,6,0.0,,,,,,,,,,,,,,,,
Aderlan,115,327,0,0.0,Aderlan de Lima Silva,0.0,2,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Christian,116,327,1,10.7,Christian Sávio Machado,10.7,4,9.44,1,7,6.44,,,,,,,1.0,3.0,,,,,,2.0,6.0,
Serginho,117,327,1,17.9,Sergio Antonio Soler de Oliveira Junior,17.9,4,15.78,1,7,10.78,,,,,1.0,,1.0,,,2.0,,,1.0,3.0,2.0,
Henrique Dourado,118,262,1,0.5,José Henrique da Silva Dourado,0.5,5,15.5,1,7,-6.5,,,,,1.0,,,2.0,,,,,,,,
Rafinha,119,354,0,0.0,Rafael dos Santos da Silva,0.0,4,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Richardson,120,354,0,0.0,Richardson Fernandes dos Santos,0.0,4,6.0,1,5,0.0,,,,,,,,,,,,,,,,
Arthur,121,354,1,3.6,Arthur Mendonça Cabral,3.6,5,5.92,1,7,0.92,,,,,,1.0,,,,,,,,2.0,2.0,
Andrigo,122,292,1,1.6,Andrigo Oliveira de Araujo,1.6,4,6.61,1,7,-1.39,,,,,1.0,1.0,1.0,,,,,,1.0,3.0,1.0,
Raul,123,354,0,0.0,Raul Lô Gonçalves,0.0,4,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Patrick,124,354,0,0.0,Patrick William Sá de Oliveira,0.0,3,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Berrío ,125,262,0,0.0,Orlando Enrique Berrío Meléndez,0.0,5,5.0,1,5,0.0,,,,,,,,,,,,,,,,
Felipe Jonatan,126,354,0,0.0,Felipe Jonatan Rocha Andrade,0.0,2,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Márcio Araújo,127,315,1,-1.8,Márcio Rodrigues Araújo,-1.8,4,2.89,1,7,-3.11,,1.0,,,2.0,,,,,,,,,1.0,1.0,
Luidy,128,354,0,0.0,Luidy Viegas,0.0,5,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Elicarlos,129,315,0,0.0,Elicarlos Souza Santos,0.0,4,5.0,1,6,0.0,,,,,,,,,,,,,,,,
