apelido,atleta_id,id_clubes,jogos_num,media_num,nome_atleta,pontos_num,posicao_id,preco_num,rodada_id,status_id,variacao_num,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG,nome_clube,abreviacao_clube,aproveitamento_mandante,aproveitamento_visitante,clube_casa_id,clube_visitante_id,nome_status,nome_posicao,abreviacao_posicao
Nery Bareiro,138,315,0,"0,0",Nery Rubén Bareiro Zorrilla,"0,0",3,"5,0",1,5,"0,0",,,,,,,,,,,,,,,,,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Contundido,Zagueiro,zag
Neto,139,315,0,"0,0",Hélio Hermito Zampier Neto,"0,0",3,"2,0",1,5,"0,0",,,,,,,,,,,,,,,,,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Contundido,Zagueiro,zag
Canteros,141,315,1,"4,7",Héctor Canteros,"4,7",4,"8,06",1,7,"1,06","1,0",,,,,,,,,,,,,"6,0","1,0",,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Meia,mei
Douglas,143,315,1,"2,0",Douglas Silva Bacelar,"2,0",3,"4,82",1,7,"-0,18",,,,,"3,0",,,"1,0",,,,,,,"2,0",,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Zagueiro,zag
Rafael Thyere,147,315,1,"-1,8",Rafael Thyere Albuquerque Marques,"-1,8",3,"2,2",1,7,"-2,8",,"1,0",,,"2,0",,,,,,,,,"1,0","1,0",,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Zagueiro,zag
Arthur ,148,315,1,"1,8",Arthur Caíke do Nascimento Cruz,"1,8",5,"6,75",1,7,"-1,25",,,,,,,"2,0","1,0",,,,,,"1,0",,,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Atacante,ata
Bruno Pacheco,151,315,1,"1,2",Bruno de Jesus Pacheco,"1,2",2,"4,27",1,7,"-0,73",,,,,"1,0",,,"1,0",,,,,,"1,0","1,0",,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Lateral,lat
Jandrei,152,315,1,"-3,5",Jandrei Chitolina Carniel,"-3,5",1,"3,79",1,7,"-5,21",,,,"2,0",,,,"1,0",,,,"5,0",,,,,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Goleiro,gol
Fabrício Bruno,154,315,0,"0,0",Fabrício Bruno Soares de Faria,"0,0",3,"6,0",1,5,"0,0",,,,,,,,,,,,,,,,,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Contundido,Zagueiro,zag
Perotti,157,315,0,"0,0",Pedro Henrique Perotti,"0,0",5,"2,0",1,5,"0,0",,,,,,,,,,,,,,,,,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Contundido,Atacante,ata
Wellington Paulista,192,315,1,"7,3",Wellington Pereira do Nascimento,"7,3",5,"11,23",1,7,"2,23",,"1,0",,,"5,0",,"2,0",,,"1,0",,,"1,0","1,0","2,0",,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Atacante,ata
Marcelo Chamusca,63,354,1,"1,19",Marcelo Augusto Oliveira Chamusca,"1,19",6,"2,2",1,7,"0,2",,,,,,,,,,,,,,,,,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Técnico,tec
Felipe Azevedo,67,354,1,"-0,7",Felipe Azevedo dos Santos,"-0,7",5,"5,72",1,7,"-3,28",,,,,,,,"1,0",,,,,,"4,0",,,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Atacante,ata
Pedro Ken,70,354,0,"0,0",Pedro Ken Morimoto Moreira,"0,0",4,"5,0",1,5,"0,0",,,,,,,,,,,,,,,,,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Contundido,Meia,mei
Ernandes,72,354,1,"0,5",Ernandes Dias Luz,"0,5",2,"2,41",1,7,"-0,59",,,,,,,"1,0",,,,,,,"1,0",,,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Lateral,lat
Wescley,75,354,1,"0,9",Wescley Gomes dos Santos,"0,9",4,"4,06",1,7,"-0,94",,,,,"2,0",,,"2,0",,,,,,"2,0","1,0",,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Meia,mei
Éverson,76,354,1,"2,0",Éverson Felipe Marques Pires,"2,0",1,"6,2",1,7,"-0,8",,,,"2,0",,,,,,,,"2,0",,,,,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Goleiro,gol
Juninho,77,354,1,"-0,1",Paulo Roberto Valoura Júnior,"-0,1",4,"4,06",1,7,"-1,94",,,,,,,"1,0",,,,,,,"8,0","1,0",,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Meia,mei
Pio,78,354,1,"0,1",Francisco Hércules de Araújo,"0,1",4,"4,2",1,7,"-1,8",,,,,"1,0",,,"1,0",,,"1,0",,,"3,0","4,0",,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Meia,mei
Ricardinho,81,354,1,"0,0",Ricardo Dias Acosta,"0,0",4,"4,82",1,7,"-2,18",,,,,,,,,,,,,,,,,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Meia,mei
Luiz Otávio,82,354,1,"2,7",Luiz Otávio Anacleto Leandro,"2,7",3,"5,99",1,7,"-0,01",,,,,,,,,,,,,,"1,0","2,0",,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Zagueiro,zag
Rafael Carioca,85,354,1,"-2,0",Rafael Bruno Cajueiro da Silva,"-2,0",2,"1,38",1,7,"-2,62",,"1,0",,,"2,0",,"1,0","1,0",,,,,,"6,0","1,0",,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Lateral,lat
Valdo,92,354,1,"3,0",Andrevaldo de Jesus Santos,"3,0",3,"5,51",1,7,"0,51",,,,,,,,,,,,,,,"2,0",,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Zagueiro,zag
Richardson,120,354,0,"0,0",Richardson Fernandes dos Santos,"0,0",4,"6,0",1,5,"0,0",,,,,,,,,,,,,,,,,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Contundido,Meia,mei
